transcript	description	eval	begin	end
MSTRG.43443.3	Cadherin	0.007	1360	1459
MSTRG.43443.3	Cadherin	0.0032	2704	2813
MSTRG.43443.3	Cadherin	0.0047	370	471
MSTRG.43443.3	Cadherin	0.006	41	157
MSTRG.43443.3	Cadherin	0.00082	3223	3335
MSTRG.43443.3	Cadherin	0.00078	1028	1153
MSTRG.43443.3	Cadherin	0.0011	1553	1677
MSTRG.43443.3	Cadherin	0.001	145	268
MSTRG.43443.3	Cadherin	0.0022	2587	2724
MSTRG.43443.3	Cadherin	8e-04	818	924
MSTRG.43443.3	Cadherin	0.0018	2071	2178
MSTRG.43443.3	Cadherin	0.0029	1241	1355
MSTRG.43443.3	Cadherin	0.0011	1870	1995
MSTRG.43443.3	Cadherin	0.0077	282	373
MSTRG.43443.3	Cadherin	0.0014	732	822
MSTRG.43443.3	Laminin G-like module	0.0032	3821	4001
MSTRG.43443.3	EGF-type module	0.017	4059	4101
MSTRG.43443.3	EGF-type module	0.0051	4097	4134
MSTRG.43443.3	EGF-type module	0.0088	4022	4060
MSTRG.43478.2	PA domain	8.16e-05	3	59
MSTRG.43493.3	KRAB domain (Kruppel-associated box)	0.00058	47	108
MSTRG.43493.4	Classic zinc finger, C2H2	0.0068	529	581
MSTRG.43493.4	Classic zinc finger, C2H2	0.0095	221	273
MSTRG.43493.4	Classic zinc finger, C2H2	0.0071	316	372
MSTRG.43493.4	Classic zinc finger, C2H2	0.022	259	316
MSTRG.43493.4	Classic zinc finger, C2H2	0.0075	427	484
MSTRG.43493.4	Classic zinc finger, C2H2	0.011	484	540
MSTRG.43493.4	Classic zinc finger, C2H2	0.008	371	428
MSTRG.43493.4	KRAB domain (Kruppel-associated box)	0.00058	55	116
MSTRG.43493.5	KRAB domain (Kruppel-associated box)	0.00058	55	116
MSTRG.435.21	Spectrin repeat	0.0024	1868	2024
MSTRG.435.21	Spectrin repeat	0.0034	1648	1807
MSTRG.435.21	Spectrin repeat	0.0028	447	603
MSTRG.435.21	Spectrin repeat	0.0043	989	1148
MSTRG.435.21	Spectrin repeat	0.0022	1230	1370
MSTRG.435.21	Spectrin repeat	0.0064	1320	1471
MSTRG.435.21	Spectrin repeat	0.0036	882	1029
MSTRG.435.21	Spectrin repeat	0.0048	663	821
MSTRG.435.21	Spectrin repeat	0.0015	1474	1591
MSTRG.435.21	Spectrin repeat	0.007	2020	2135
MSTRG.435.21	Spectrin repeat	0.0018	598	715
MSTRG.435.21	Spectrin repeat	0.0088	1146	1259
MSTRG.435.21	Spectrin repeat	0.0067	2145	2216
MSTRG.435.21	Spectrin repeat	0.0067	2247	2276
MSTRG.435.21	GAS2 domain	6e-04	2382	2464
MSTRG.435.21	Polcalcin	0.044	2293	2373
MSTRG.435.22	Spectrin repeat	0.0024	1868	2024
MSTRG.435.22	Spectrin repeat	0.0034	1648	1807
MSTRG.435.22	Spectrin repeat	0.0028	447	603
MSTRG.435.22	Spectrin repeat	0.0043	989	1148
MSTRG.435.22	Spectrin repeat	0.0022	1230	1370
MSTRG.435.22	Spectrin repeat	0.0064	1320	1471
MSTRG.435.22	Spectrin repeat	0.0036	882	1029
MSTRG.435.22	Spectrin repeat	0.0048	663	821
MSTRG.435.22	Spectrin repeat	0.0015	1474	1591
MSTRG.435.22	Spectrin repeat	0.007	2020	2135
MSTRG.435.22	Spectrin repeat	0.0018	598	715
MSTRG.435.22	Spectrin repeat	0.0088	1146	1259
MSTRG.435.22	Spectrin repeat	0.0067	2145	2216
MSTRG.435.22	Spectrin repeat	0.0067	2247	2276
MSTRG.435.22	GAS2 domain	0.00059	2382	2461
MSTRG.435.22	Polcalcin	0.044	2293	2373
MSTRG.43506.7	Classic zinc finger, C2H2	0.0068	435	492
MSTRG.43506.7	Classic zinc finger, C2H2	0.0057	379	436
MSTRG.43506.7	Classic zinc finger, C2H2	0.0044	491	548
MSTRG.43506.7	Classic zinc finger, C2H2	0.018	323	380
MSTRG.43506.7	Classic zinc finger, C2H2	0.008	533	585
MSTRG.43506.7	Classic zinc finger, C2H2	0.019	206	259
MSTRG.43506.7	Classic zinc finger, C2H2	0.015	286	337
MSTRG.43506.7	KRAB domain (Kruppel-associated box)	0.00065	36	96
MSTRG.43509.1	KRAB domain (Kruppel-associated box)	0.00079	9	69
MSTRG.43509.3	KRAB domain (Kruppel-associated box)	0.00079	9	58
MSTRG.43515.5	Ubiquitin-related	1.28e-05	1	72
MSTRG.43522.1	Fibrinogen C-terminal domain-like	3.09e-06	237	453
MSTRG.43527.2	Rhodopsin-like	0.001	17	310
MSTRG.43528.1	Ribosomal protein L4	0.0058	68	119
MSTRG.43528.2	Ribosomal protein L4	0.00019	68	149
MSTRG.43528.3	Ribosomal protein L4	0.00021	68	148
MSTRG.43538.2	Third domain of FERM	0.031	371	436
MSTRG.43538.2	Second domain of FERM	0.0054	145	269
MSTRG.43542.2	BTB/POZ domain	0.0016	53	177
MSTRG.43555.2	Double-stranded RNA-binding domain (dsRBD)	0.00032	533	603
MSTRG.43555.2	Double-stranded RNA-binding domain (dsRBD)	5.99e-05	410	480
MSTRG.43558.1	tRNA-guanine transglycosylase	3.02e-07	22	347
MSTRG.43559.14	Pleckstrin-homology domain (PH domain)	3.98e-05	109	183
MSTRG.4357.1	UBC-related	4.04e-06	1	100
MSTRG.43590.1	Type 2 phosphatidic acid phosphatase, PAP2	0.044	115	164
MSTRG.43590.1	Type 2 phosphatidic acid phosphatase, PAP2	0.044	191	284
MSTRG.43595.2	Mannose 6-phosphate receptor domain	0.0066	405	513
MSTRG.43595.2	LDL receptor-like module	0.0062	68	108
MSTRG.43595.2	Polcalcin	0.067	210	259
MSTRG.43596.1	Canonical RBD	1.33e-05	35	189
MSTRG.43596.1	Canonical RBD	0.0015	273	357
MSTRG.43596.2	Canonical RBD	1.33e-05	28	186
MSTRG.43596.2	Canonical RBD	0.0015	266	350
MSTRG.43600.5	Calponin-homology domain, CH-domain	1.37e-05	2	136
MSTRG.43601.1	Putative zinc binding domain	1.42e-05	1	82
MSTRG.43610.1	KRAB domain (Kruppel-associated box)	0.0012	2	47
MSTRG.43613.1	Classic zinc finger, C2H2	0.0047	330	387
MSTRG.43613.1	Classic zinc finger, C2H2	0.0057	218	275
MSTRG.43613.1	Classic zinc finger, C2H2	0.0073	274	331
MSTRG.43613.1	Classic zinc finger, C2H2	0.0079	162	219
MSTRG.43613.1	Classic zinc finger, C2H2	0.031	112	163
MSTRG.43613.1	Classic zinc finger, C2H2	0.0038	404	456
MSTRG.43613.1	KRAB domain (Kruppel-associated box)	0.001	3	59
MSTRG.43643.1	Ubiquitin-related	0.00013	10	94
MSTRG.43643.2	Ubiquitin-related	0.00013	10	94
MSTRG.43651.1	G proteins	0.034	30	288
MSTRG.43651.10	G proteins	0.036	16	209
MSTRG.43651.13	G proteins	0.036	18	211
MSTRG.43671.1	Atu2648/PH1033-like	1e-04	55	164
MSTRG.43671.2	Atu2648/PH1033-like	1.85e-05	55	222
MSTRG.43674.5	Clathrin adaptor core protein	0.062	4	116
MSTRG.43676.5	V set domains (antibody variable domain-like)	0.022	11	116
MSTRG.43676.5	I set domains	0.017	108	171
MSTRG.43680.2	I set domains	0.014	228	325
MSTRG.43680.2	I set domains	0.031	28	143
MSTRG.43680.2	I set domains	0.016	327	424
MSTRG.43680.2	I set domains	0.014	135	231
MSTRG.43680.2	I set domains	0.012	410	507
MSTRG.43680.2	Fibronectin type III	0.0024	509	701
MSTRG.43680.5	I set domains	0.051	28	115
MSTRG.43684.6	I set domains	0.015	93	184
MSTRG.43684.6	I set domains	0.037	2	98
MSTRG.43684.6	I set domains	0.019	177	270
MSTRG.43694.1	I set domains	0.024	135	225
MSTRG.43694.1	I set domains	0.031	38	139
MSTRG.43694.1	I set domains	0.0084	218	311
MSTRG.43694.2	I set domains	0.034	94	184
MSTRG.43694.2	I set domains	0.026	2	98
MSTRG.43694.2	I set domains	0.0084	177	271
MSTRG.43694.5	I set domains	0.024	94	184
MSTRG.43694.5	I set domains	0.026	2	98
MSTRG.43694.5	I set domains	0.0084	177	269
MSTRG.43699.1	PX domain	0.0042	529	665
MSTRG.43708.1	CAPPD, an extracellular domain of amyloid beta A4 protein	1.28e-07	374	564
MSTRG.43708.1	A heparin-binding domain	5.86e-06	47	139
MSTRG.43708.1	Amyloid beta a4 protein copper binding domain (domain 2)	6.74e-05	140	205
MSTRG.43708.1	Small Kunitz-type inhibitors & BPTI-like toxins	0.00035	305	364
MSTRG.43710.1	Classic zinc finger, C2H2	0.0089	629	680
MSTRG.43710.1	Classic zinc finger, C2H2	0.029	549	600
MSTRG.43710.1	Classic zinc finger, C2H2	0.026	593	632
MSTRG.43710.1	Classic zinc finger, C2H2	0.016	518	560
MSTRG.43732.1	BCR-homology GTPase activation domain (BH-domain)	0.00094	328	435
MSTRG.43732.1	SH3-domain	0.003	219	295
MSTRG.43732.1	PX domain	0.01	106	203
MSTRG.43732.2	BCR-homology GTPase activation domain (BH-domain)	3.73e-05	342	541
MSTRG.43732.2	SH3-domain	0.003	233	309
MSTRG.43732.2	PX domain	0.01	120	217
MSTRG.43745.1	I set domains	0.022	419	515
MSTRG.43745.1	I set domains	0.048	50	151
MSTRG.43745.1	I set domains	0.031	246	332
MSTRG.43745.1	I set domains	0.064	146	250
MSTRG.43745.1	I set domains	0.023	334	422
MSTRG.43745.6	I set domains	0.022	419	515
MSTRG.43745.6	I set domains	0.048	50	151
MSTRG.43745.6	I set domains	0.031	246	332
MSTRG.43745.6	I set domains	0.064	146	250
MSTRG.43745.6	I set domains	0.023	334	422
MSTRG.43761.10	FAD-linked reductases, N-terminal domain	0.011	64	311
MSTRG.43761.8	FAD/NAD-linked reductases, N-terminal and central domains	0.089	49	108
MSTRG.43810.2	V set domains (antibody variable domain-like)	0.014	36	142
MSTRG.43816.1	V set domains (antibody variable domain-like)	0.046	40	160
MSTRG.43816.2	V set domains (antibody variable domain-like)	0.046	40	160
MSTRG.43819.4	Putative acetylxylan esterase-like	0.02	78	194
MSTRG.43819.4	Putative acetylxylan esterase-like	0.02	246	385
MSTRG.43858.1	Actin/HSP70	4.41e-05	5	74
MSTRG.43858.15	Heat shock protein 70kD (HSP70), C-terminal subdomain	0.00011	21	70
MSTRG.43858.2	Actin/HSP70	4.41e-05	5	74
MSTRG.43858.3	Heat shock protein 70kD (HSP70), peptide-binding domain	1.65e-07	1	134
MSTRG.43858.3	Heat shock protein 70kD (HSP70), C-terminal subdomain	7.59e-06	129	209
MSTRG.4388.2	G proteins	2.01e-07	30	57
MSTRG.4388.2	G proteins	2.01e-07	175	353
MSTRG.4388.2	Transducin (alpha subunit), insertion domain	1.77e-05	61	179
MSTRG.4389.1	G proteins	9.48e-05	58	232
MSTRG.43890.8	mRNA export factor tap	0.031	52	112
MSTRG.43894.4	L-arabinose binding protein-like	0.015	20	352
MSTRG.43897.1	PDZ domain	0.025	68	101
MSTRG.43897.4	PDZ domain	0.025	68	101
MSTRG.43897.5	PDZ domain	0.026	2	34
MSTRG.43897.7	PDZ domain	0.024	40	82
MSTRG.43921.2	Ubiquitin carboxyl-terminal hydrolase, UCH	6.11e-12	279	611
MSTRG.43921.5	Ubiquitin carboxyl-terminal hydrolase, UCH	6.11e-12	279	611
MSTRG.43921.7	Ubiquitin carboxyl-terminal hydrolase, UCH	6.11e-12	279	611
MSTRG.43929.1	I set domains	0.053	430	517
MSTRG.43929.1	I set domains	0.069	350	412
MSTRG.43929.1	I set domains	0.069	252	342
MSTRG.43929.1	C1 set domains (antibody constant domain-like)	0.059	161	229
MSTRG.43929.1	V set domains (antibody variable domain-like)	0.03	34	126
MSTRG.43929.5	I set domains	0.053	427	514
MSTRG.43929.5	I set domains	0.069	347	409
MSTRG.43929.5	I set domains	0.069	249	339
MSTRG.43929.5	I set domains	0.066	158	226
MSTRG.43929.5	V set domains (antibody variable domain-like)	0.027	31	121
MSTRG.43944.2	Classic zinc finger, C2H2	0.026	170	215
MSTRG.43946.2	Synaptotagmin-like (S variant)	0.076	278	402
MSTRG.43950.6	Phosphate binding protein-like	0.00017	19	135
MSTRG.43951.2	WD40-repeat	0.028	3	138
MSTRG.43955.1	Glycerol-3-phosphate transporter	1.76e-05	6	440
MSTRG.43955.6	Glycerol-3-phosphate transporter	1.4e-05	6	419
MSTRG.43968.1	Tandem AAA-ATPase domain	3.13e-07	164	451
MSTRG.43968.3	Tandem AAA-ATPase domain	3.13e-07	164	451
MSTRG.43977.2	Second domain of Mu2 adaptin subunit (ap50) of ap2 adaptor	0.0092	270	483
MSTRG.43977.2	Clathrin coat assembly domain	0.012	6	142
MSTRG.43981.1	I set domains	0.098	37	130
MSTRG.43981.6	I set domains	0.098	37	130
MSTRG.43981.7	I set domains	0.098	37	130
MSTRG.43984.1	Histone lysine methyltransferases	0.0044	837	979
MSTRG.43984.6	PHD domain	0.023	1466	1518
MSTRG.43993.2	U-box	7.41e-06	996	1080
MSTRG.44025.1	Calponin-homology domain, CH-domain	1.41e-07	17	158
MSTRG.4403.4	Rhodopsin-like	0.00032	5	308
MSTRG.44047.15	I set domains	0.0077	92	186
MSTRG.44047.15	C1 set domains (antibody constant domain-like)	0.04	7	98
MSTRG.44047.16	C1 set domains (antibody constant domain-like)	0.04	7	98
MSTRG.44047.16	I set domains	0.01	92	189
MSTRG.44047.17	C1 set domains (antibody constant domain-like)	0.037	8	94
MSTRG.44047.18	C1 set domains (antibody constant domain-like)	0.047	7	98
MSTRG.44047.18	I set domains	0.01	92	189
MSTRG.44047.7	I set domains	0.0077	242	336
MSTRG.44047.7	I set domains	0.061	53	148
MSTRG.44047.7	C1 set domains (antibody constant domain-like)	0.032	146	246
MSTRG.44047.8	I set domains	0.01	242	339
MSTRG.44047.8	I set domains	0.061	53	148
MSTRG.44047.8	C1 set domains (antibody constant domain-like)	0.032	146	246
MSTRG.44051.5	Filamin repeat (rod domain)	0.013	93	180
MSTRG.44056.1	DnaQ-like 3'-5' exonuclease	0.00023	41	104
MSTRG.44058.1	Canonical RBD	0.0088	8	33
MSTRG.44058.2	Canonical RBD	0.0097	7	33
MSTRG.44061.1	Arylamine N-methyltransferase	4.71e-07	6	260
MSTRG.44061.2	Arylamine N-methyltransferase	4.71e-07	6	260
MSTRG.44063.2	Classic zinc finger, C2H2	0.013	596	648
MSTRG.44063.2	Classic zinc finger, C2H2	0.0062	555	609
MSTRG.44063.2	Classic zinc finger, C2H2	0.033	499	555
MSTRG.44063.2	Classic zinc finger, C2H2	0.019	419	470
MSTRG.44063.2	BTB/POZ domain	6.91e-07	8	123
MSTRG.44070.2	Neurotransmitter-gated ion-channel transmembrane pore	2e-04	232	467
MSTRG.44070.2	Nicotinic receptor ligand binding domain-like	0.0024	41	232
MSTRG.44071.2	Ubiquitin carboxyl-terminal hydrolase, UCH	0.0016	159	411
MSTRG.44071.2	Ubiquitin carboxyl-terminal hydrolase, UCH	0.0016	545	652
MSTRG.44071.2	UBA domain	0.0064	2	76
MSTRG.44079.2	Tetratricopeptide repeat (TPR)	0.0015	102	206
MSTRG.44082.1	I set domains	7.76e-06	86	191
MSTRG.44082.1	I set domains	2.69e-05	2	95
MSTRG.44082.1	I set domains	0.0097	295	395
MSTRG.44082.1	I set domains	0.011	183	296
MSTRG.44082.1	Fibronectin type III	5.56e-06	392	582
MSTRG.44082.10	I set domains	7.76e-06	86	191
MSTRG.44082.10	I set domains	0.0097	295	395
MSTRG.44082.10	I set domains	2.69e-05	2	95
MSTRG.44082.10	I set domains	0.011	183	296
MSTRG.44082.10	Fibronectin type III	5.56e-06	392	583
MSTRG.44082.11	I set domains	7.76e-06	86	191
MSTRG.44082.11	I set domains	0.0097	295	395
MSTRG.44082.11	I set domains	2.69e-05	2	95
MSTRG.44082.11	I set domains	0.015	183	296
MSTRG.44082.11	Fibronectin type III	5.56e-06	392	583
MSTRG.44082.2	I set domains	8.22e-06	86	191
MSTRG.44082.2	I set domains	2.69e-05	2	95
MSTRG.44082.2	I set domains	0.0097	295	395
MSTRG.44082.2	I set domains	0.016	184	296
MSTRG.44082.2	Fibronectin type III	5.56e-06	392	583
MSTRG.44082.6	I set domains	7.76e-06	86	191
MSTRG.44082.6	I set domains	0.0097	295	395
MSTRG.44082.6	I set domains	2.69e-05	2	95
MSTRG.44082.6	I set domains	0.011	183	296
MSTRG.44082.6	Fibronectin type III	5.56e-06	392	587
MSTRG.44082.7	I set domains	8.22e-06	86	191
MSTRG.44082.7	I set domains	0.011	190	290
MSTRG.44082.7	I set domains	0.0097	285	385
MSTRG.44082.7	I set domains	2.69e-05	2	95
MSTRG.44082.7	Fibronectin type III	5.56e-06	382	577
MSTRG.44082.8	Fibronectin type III	6.24e-06	80	171
MSTRG.44082.8	Fibronectin type III	0.00043	5	48
MSTRG.44082.9	I set domains	7.76e-06	86	191
MSTRG.44082.9	I set domains	0.0097	295	395
MSTRG.44082.9	I set domains	2.69e-05	2	95
MSTRG.44082.9	I set domains	0.011	183	296
MSTRG.44082.9	Fibronectin type III	5.56e-06	392	588
MSTRG.44094.1	Interleukin-1 (IL-1)	1.84e-06	37	189
MSTRG.44094.2	Interleukin-1 (IL-1)	1.84e-06	37	189
MSTRG.44101.1	CAT-like	2.75e-05	415	642
MSTRG.44101.1	Biotinyl/lipoyl-carrier proteins and domains	3.04e-06	215	309
MSTRG.44101.1	Biotinyl/lipoyl-carrier proteins and domains	2.08e-05	90	181
MSTRG.44101.1	Peripheral subunit-binding domain of 2-oxo acid dehydrogenase complex	0.0014	344	389
MSTRG.44106.1	Anticodon-binding domain of PheRS	0.016	524	622
MSTRG.44106.1	Mycolic acid cyclopropane synthase	0.067	40	158
MSTRG.44107.9	HEAT repeat	9.05e-10	18	282
MSTRG.44115.4	C-type lectin domain	0.0021	41	191
MSTRG.44135.2	Third domain of FERM	1.76e-07	199	339
MSTRG.44135.2	Second domain of FERM	5.79e-07	89	198
MSTRG.44135.2	Moesin tail domain	2.11e-05	496	583
MSTRG.44135.2	First domain of FERM	6.11e-06	2	87
MSTRG.44158.5	Cullin repeat	0.00012	90	311
MSTRG.44158.7	Cullin repeat	0.00027	6	105
MSTRG.44158.8	Cullin repeat	0.00012	90	309
MSTRG.44172.2	WD40-repeat	0.022	489	619
MSTRG.44172.3	WD40-repeat	0.0032	2761	3014
MSTRG.44172.3	WD40-repeat	0.015	41	287
MSTRG.44180.1	Chaperone J-domain	0.00013	2	99
MSTRG.44180.1	HSP40/DnaJ peptide-binding domain	0.0012	251	327
MSTRG.44180.1	HSP40/DnaJ peptide-binding domain	0.00065	107	140
MSTRG.44180.1	HSP40/DnaJ peptide-binding domain	0.00065	207	249
MSTRG.44180.1	DnaJ/Hsp40 cysteine-rich domain	0.00016	132	204
MSTRG.44181.3	WD40-repeat	0.00012	12	205
MSTRG.44181.4	WD40-repeat	2e-04	8	301
MSTRG.44185.1	Aconitase iron-sulfur domain	4.93e-13	11	137
MSTRG.44185.1	Aconitase iron-sulfur domain	4.93e-13	211	690
MSTRG.44188.3	APH phosphotransferases	0.039	15	215
MSTRG.4419.5	Somatomedin B domain	0.0038	26	66
MSTRG.44190.1	Proteasome subunits	3.69e-10	3	248
MSTRG.44190.8	Proteasome subunits	3.69e-10	3	248
MSTRG.44205.2	HkH motif-containing C2H2 finger	0.049	781	821
MSTRG.44210.4	Calmodulin-like	0.025	57	211
MSTRG.44215.1	Protein kinases, catalytic subunit	0.0039	1345	1391
MSTRG.44215.1	Protein kinases, catalytic subunit	0.0039	1445	1653
MSTRG.44221.4	HMG-box	0.00035	88	171
MSTRG.44228.1	Ngr ectodomain-like	0.0036	40	373
MSTRG.44228.1	I set domains	0.019	425	516
MSTRG.44239.2	CRAL/TRIO N-terminal domain	0.0067	3	83
MSTRG.4424.1	Glutathione S-transferase (GST), C-terminal domain	2.65e-05	149	286
MSTRG.4424.1	Glutathione S-transferase (GST), N-terminal domain	0.0033	79	154
MSTRG.44241.2	PAH2 domain	3.08e-06	297	382
MSTRG.44241.2	PAH2 domain	0.0012	119	188
MSTRG.44241.2	PAH2 domain	0.011	459	526
MSTRG.44241.5	PAH2 domain	3.08e-06	297	382
MSTRG.44241.5	PAH2 domain	0.0012	119	188
MSTRG.44244.3	alpha-mannosidase, C-terminal domain	0.051	659	1007
MSTRG.44244.3	alpha-mannosidase, C-terminal domain	0.051	1043	1106
MSTRG.44244.3	alpha-mannosidase	0.0076	303	555
MSTRG.44244.3	alpha-mannosidase, domain 2	0.0096	556	657
MSTRG.44244.6	alpha-mannosidase, C-terminal domain	0.051	618	966
MSTRG.44244.6	alpha-mannosidase, C-terminal domain	0.051	1002	1065
MSTRG.44244.6	alpha-mannosidase	0.0049	247	514
MSTRG.44244.6	alpha-mannosidase, domain 2	0.0096	515	616
MSTRG.44245.1	Middle domain of MutM-like DNA repair proteins	2.2e-06	35	146
MSTRG.44245.1	C-terminal, Zn-finger domain of MutM-like DNA repair proteins	1e-04	150	192
MSTRG.44253.10	Homo-oligomeric flavin-containing Cys decarboxylases, HFCD	6.68e-06	16	115
MSTRG.44253.6	Homo-oligomeric flavin-containing Cys decarboxylases, HFCD	1.31e-06	16	120
MSTRG.44253.8	Homo-oligomeric flavin-containing Cys decarboxylases, HFCD	0.0012	15	42
MSTRG.44253.9	Homo-oligomeric flavin-containing Cys decarboxylases, HFCD	2.11e-08	16	190
MSTRG.44263.1	Cytochrome c oxidase subunit E	9.06e-07	43	145
MSTRG.44263.2	Cytochrome c oxidase subunit E	9.06e-07	43	145
MSTRG.44263.3	Cytochrome c oxidase subunit E	9.06e-07	43	145
MSTRG.44269.2	Protein kinases, catalytic subunit	0.0011	11	121
MSTRG.44269.3	Protein kinases, catalytic subunit	7.6e-05	11	204
MSTRG.44269.4	Protein kinases, catalytic subunit	3.87e-05	11	233
MSTRG.44269.5	Protein kinases, catalytic subunit	7.6e-05	11	204
MSTRG.44277.2	Protein kinases, catalytic subunit	2.45e-05	293	564
MSTRG.44277.2	Protein kinases, catalytic subunit	2.45e-05	611	671
MSTRG.4428.1	MIF-related	0.00062	1	36
MSTRG.4428.3	MIF-related	1.18e-05	2	76
MSTRG.44280.1	Ubiquitin-related	7.12e-05	37	92
MSTRG.44280.1	UBA domain	0.0068	333	376
MSTRG.44280.3	Ubiquitin-related	6.39e-05	36	92
MSTRG.44312.12	I set domains	0.021	228	333
MSTRG.44312.12	I set domains	0.024	33	122
MSTRG.44312.12	I set domains	0.048	164	229
MSTRG.44312.3	I set domains	0.021	228	333
MSTRG.44312.3	I set domains	0.024	33	122
MSTRG.44312.3	I set domains	0.048	164	229
MSTRG.44312.4	I set domains	0.021	228	333
MSTRG.44312.4	I set domains	0.024	33	122
MSTRG.44312.4	I set domains	0.048	164	229
MSTRG.44312.5	I set domains	0.021	112	217
MSTRG.44312.5	I set domains	0.048	48	114
MSTRG.44312.6	I set domains	0.021	228	333
MSTRG.44312.6	I set domains	0.024	33	122
MSTRG.44312.6	I set domains	0.048	164	229
MSTRG.44312.7	I set domains	0.016	228	332
MSTRG.44312.7	I set domains	0.024	33	122
MSTRG.44312.7	I set domains	0.048	164	229
MSTRG.44317.1	I set domains	0.009	66	169
MSTRG.44317.1	I set domains	0.013	260	354
MSTRG.44317.1	I set domains	0.03	152	251
MSTRG.44317.1	I set domains	0.028	345	402
MSTRG.44317.2	Fibronectin type III	1.95e-06	549	741
MSTRG.44317.2	Fibronectin type III	1.49e-06	867	1064
MSTRG.44317.2	Fibronectin type III	1.34e-06	445	545
MSTRG.44317.2	Fibronectin type III	6.53e-07	732	839
MSTRG.44317.2	I set domains	0.013	260	354
MSTRG.44317.2	I set domains	0.013	343	440
MSTRG.44317.2	I set domains	0.03	152	251
MSTRG.44317.2	I set domains	0.015	63	164
MSTRG.44323.6	ADP-specific Phosphofructokinase/Glucokinase	0.0073	2	138
MSTRG.44324.2	Tetratricopeptide repeat (TPR)	0.0082	70	335
MSTRG.44325.6	Variant RING domain	0.067	70	111
MSTRG.44333.2	beta-N-acetylhexosaminidase catalytic domain	1.33e-08	167	359
MSTRG.44333.2	beta-N-acetylhexosaminidase domain	8.66e-07	23	166
MSTRG.44333.3	beta-N-acetylhexosaminidase catalytic domain	2.68e-07	1	137
MSTRG.44333.4	beta-N-acetylhexosaminidase catalytic domain	6.03e-08	1	168
MSTRG.44335.1	Canonical RBD	0.0028	36	128
MSTRG.44335.1	Canonical RBD	2.93e-05	133	224
MSTRG.44335.1	Canonical RBD	2.93e-05	371	456
MSTRG.44337.1	Poly(ADP-ribose) polymerase, C-terminal domain	0.01	416	526
MSTRG.44337.1	Poly(ADP-ribose) polymerase, C-terminal domain	0.01	560	609
MSTRG.44337.4	Poly(ADP-ribose) polymerase, C-terminal domain	0.018	416	493
MSTRG.44338.1	Pyruvate kinase	3.46e-08	16	121
MSTRG.44338.1	Pyruvate kinase	3.46e-08	207	330
MSTRG.44338.1	Pyruvate kinase beta-barrel domain	1.39e-06	117	218
MSTRG.44338.2	Pyruvate kinase	3.46e-08	16	121
MSTRG.44338.2	Pyruvate kinase	3.46e-08	207	330
MSTRG.44338.2	Pyruvate kinase beta-barrel domain	1.39e-06	117	218
MSTRG.44338.3	Pyruvate kinase	2.7e-08	16	121
MSTRG.44338.3	Pyruvate kinase	2.7e-08	180	303
MSTRG.44338.3	Pyruvate kinase beta-barrel domain	1.23e-05	117	191
MSTRG.44341.1	Motor proteins	0.00012	143	288
MSTRG.44341.1	Ras-binding domain, RBD	0.0093	16	111
MSTRG.44341.2	Motor proteins	2.57e-09	142	692
MSTRG.44341.2	Motor proteins	2.57e-09	869	1064
MSTRG.44341.2	Motor proteins	0.045	1113	1164
MSTRG.44341.2	BCR-homology GTPase activation domain (BH-domain)	5.77e-05	2059	2247
MSTRG.44341.2	Ras-binding domain, RBD	0.0093	16	111
MSTRG.44341.2	Protein kinase cysteine-rich domain (cys2, phorbol-binding domain)	0.0049	1993	2052
MSTRG.44341.3	Motor proteins	2.6e-09	142	673
MSTRG.44341.3	Motor proteins	2.6e-09	850	908
MSTRG.44341.3	Ras-binding domain, RBD	0.0093	16	111
MSTRG.44383.4	Ankyrin repeat	0.00022	1	216
MSTRG.44402.3	U2A'-like	0.058	5	152
MSTRG.44407.1	WD40-repeat	0.0011	54	312
MSTRG.44423.1	PB1 domain	4.44e-05	1	61
MSTRG.44423.3	Protein kinases, catalytic subunit	1.37e-06	151	404
MSTRG.44423.3	PB1 domain	1.16e-06	1	113
MSTRG.44423.5	PB1 domain	1.16e-06	1	113
MSTRG.44442.1	Ribosomal protein L4	2.33e-05	7	262
MSTRG.44442.2	Ribosomal protein L4	2.33e-05	7	262
MSTRG.44463.1	DPP6 N-terminal domain-like	0.00079	87	618
MSTRG.44463.1	DPP6 catalytic domain-like	0.031	626	714
MSTRG.44463.2	DPP6 N-terminal domain-like	0.00076	141	444
MSTRG.44463.3	DPP6 N-terminal domain-like	0.00079	87	618
MSTRG.44463.3	DPP6 catalytic domain-like	0.031	626	714
MSTRG.44463.6	DPP6 N-terminal domain-like	0.00079	87	618
MSTRG.44463.6	DPP6 catalytic domain-like	0.031	626	714
MSTRG.44463.7	DPP6 N-terminal domain-like	0.00079	87	618
MSTRG.44463.7	DPP6 catalytic domain-like	0.031	626	714
MSTRG.44463.8	DPP6 N-terminal domain-like	0.00084	141	385
MSTRG.44466.8	Fibronectin type III	0.00079	166	359
MSTRG.44466.8	I set domains	0.013	1	76
MSTRG.44466.8	I set domains	0.0019	66	161
MSTRG.4447.3	Arginine methyltransferase	4.15e-06	117	412
MSTRG.4447.3	SH3-domain	0.00093	42	97
MSTRG.4447.5	Arginine methyltransferase	3.69e-06	117	435
MSTRG.4447.5	SH3-domain	0.00093	42	97
MSTRG.44474.3	Extended AAA-ATPase domain	9.02e-05	168	205
